schoolcampus,dbn,bldg_code
PS 1 ALFRED E. SMITH(MS),02M001,M001
PS 2 MEYER LONDON(MANHATTAN),02M002,M002
PS 3 CHARRETTE SCHOOL (MANHATTAN),02M003,M003
PS 4(MANHATTAN),06M004,M004
PS 5(MANHATTAN),06M005,M005
PS 6(MANHATTAN),02M006,M006
PS 11 WILLIAM T.HARRIS(MS),02M011,M011
TAG YOUNG SCHOLARS(MANHATTAN),04M012,M117
PS 15 ROBERTO CLEMENTE (MANHATTAN),01M015,M015
PS 18(MANHATTAN),06M018,M898
PS 19 ASHER LEVY (MANHATTAN),01M019,M019
PS 20 ANNA SILVER(MANHATTAN),01M020,M020
PS 28(MANHATTAN),06M028,M028
PS 33 CHELSEA PREP(MANHATTAN),02M033,M033
PS 34 FRANKLIN D. ROOSEVELT(MANHATTAN),01M034,M034
P35(MS),75M035,M058
PS 36(MANHATTAN),05M036,M036
RIVER EAST ELEMENTARY (MANHATTAN),04M037,M045
PS 38(MANHATTAN),04M038,M121
PS 41 GREENWICH VILLAGE(MANHATTAN),02M041,M041
PS 42 BENJAMIN ALTMAN(MANHATTAN),02M042,M042
PS 46(MANHATTAN),05M046,M046
47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),02M047,M047
PS 48(MANHATTAN),06M048,M048
PS 50 (MANHATTAN),04M050,M050
IS/JHS 52 (MN),06M052,M052
JHS 54(MN),03M054,M054
PS 57(MANHATTAN),04M057,M057
PS 59 BEEKMAN HILL INTERNATIONAL(MS),02M059,M488
PS 63-WILLIAM MCKINLEY(MANHATTAN),01M063,M063
PS 64 ROBERT SIMON(MANHATTAN),01M064,M064
DEMOCRACY PREP ENDURANCE CHARTER SCHOOL(MN),84M065,M154
KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL(MN),06M068,M090
PS 72(MANHATTAN),04M072,M072
PS 76(MANHATTAN),03M076,M076
PS 79 HORAN SCHOOL(MANHATTAN),75M079,M079
YALA MANHATTAN LEARNING CENTER(MANHATTAN),03M274,M274
PS 83(MANHATTAN),04M083,M083
PS 84(MANHATTAN),03M084,M084
PS/IS 89(MANHATTAN),02M089,M089
PS 92(MANHATTAN),05M092,M092
PS 96(MANHATTAN),04M096,M096
PS 98(MANHATTAN),06M098,M098
PS 102(MN),04M102,M102
JHS 104 SIMON BARUCH(MS),02M104,M104
PS 108(MN),04M108,M108
PS 110 FLORENCE NIGHTINGALE(MS),01M110,M110
PS 111(MS),02M111,M111
PS 112(MN),04M112,M112
EAST SIDE MIDDLE SCHOOL(MN),02M114,M114
PS 115(MN),06M115,M115
PS 116 MART LINDLEY MURRAY(MS),02M116,M116
